Date,Dividends
2009-07-06,0.323
2014-07-29,0.16
2017-01-24,0.07
2014-10-28,0.22
2008-04-15,1.33
2016-07-12,0.13
2014-01-15,0.1
2009-12-03,0.459
2016-11-01,0.16
2011-10-03,0.622
2016-12-22,0.22
2012-12-27,0.9035
2011-07-01,0.429
2012-03-01,0.753
2009-09-16,0.2125
2011-03-04,0.56
2015-09-09,0.15
2015-03-02,0.09
2015-01-02,0.13
2013-09-16,0.65
2014-04-03,0.06
2015-01-08,0.096
2008-07-17,0.323
2009-01-15,0.3315
2016-02-01,0.13
2008-09-30,0.3145
2010-03-19,0.3825
2010-09-30,0.7905
2012-06-22,0.152
2010-12-01,0.255
2012-10-01,0.5135
2015-12-22,0.15
2015-06-02,0.1
2013-02-28,0.636
