Date,Dividends
2016-12-01,0.015
2013-07-01,0.015
2014-01-02,0.015
2016-03-01,0.015
2010-08-02,0.012
2011-02-01,0.012
2013-04-01,0.015
2014-08-01,0.015
2010-05-03,0.012
2010-11-01,0.012
2011-09-01,0.012
2015-02-02,0.015
2012-09-03,0.015
2011-12-01,0.012
2014-11-03,0.015
2015-05-04,0.015
2012-06-01,0.015
2016-09-01,0.015
2013-10-01,0.015
2015-02-11,0.8443
2015-08-13,0.346
2015-12-01,0.015
2016-12-23,0.4714
2016-06-01,0.015
2012-03-01,0.015
2012-07-02,0.015
2016-10-03,0.015
2013-01-02,0.015
2015-03-02,0.015
2016-07-01,0.015
2012-04-02,0.015
2015-12-10,0.209
2013-08-01,0.015
2017-01-02,0.015
2010-09-01,0.012
2016-04-01,0.015
2014-02-03,0.015
2010-08-11,0.209525
2017-04-03,0.015
2013-11-01,0.015
2014-05-02,0.015
2015-09-01,0.015
2010-12-01,0.012
2011-06-01,0.012
2012-10-01,0.015
2011-03-01,0.012
2014-08-14,0.32556
2014-12-01,0.015
2015-06-01,0.015
2012-01-02,0.012
2015-07-01,0.015
2011-04-01,0.012
2014-03-05,0.015
2012-08-01,0.015
2016-01-04,0.015
2013-02-01,0.015
2015-04-01,0.015
2016-08-01,0.015
2017-02-01,0.015
2012-11-01,0.015
2013-05-02,0.015
2014-09-01,0.015
2010-06-01,0.012
2016-11-01,0.015
2017-05-02,0.015
2011-10-03,0.012
2013-12-02,0.015
2014-06-02,0.015
2011-07-01,0.012
2015-10-01,0.015
2013-03-01,0.015
2017-06-01,0.015
2011-01-03,0.012
2016-08-15,0.399
2014-07-01,0.015
2011-08-01,0.012
2015-01-02,0.015
2017-03-01,0.015
2012-02-01,0.012
2014-04-01,0.015
2011-05-02,0.012
2011-11-01,0.012
2015-08-03,0.015
2016-02-01,0.015
2012-05-02,0.015
2013-09-02,0.015
2010-10-01,0.012
2016-05-02,0.015
2015-11-03,0.015
2014-10-01,0.015
2010-07-01,0.012
2013-06-03,0.015
2017-02-21,0.7754
