Date,Open,High,Low,Close,Adj Close,Volume
2000-12-21,4223.259766,4482.799805,4222.759766,178.800049,3771.522705,49
2000-12-22,4396.120117,4396.120117,4222.270020,171.049866,3608.044922,16
2000-12-25,null,null,null,0.000000,0.000000,null
2000-12-26,4225.000000,4252.069824,4185.009766,170.999969,3606.991455,5
2000-12-27,4321.609863,4391.160156,4247.100098,176.800217,3729.340088,18
2000-12-28,4366.319824,4694.169922,4296.529785,185.000122,3902.303955,52
2000-12-29,null,null,null,0.000000,0.000000,null
2001-01-01,null,null,null,0.000000,0.000000,null
2001-01-02,4359.120117,4470.390137,4358.870117,179.000168,3775.744385,31341
2001-01-03,4445.799805,4719.000000,4420.959961,186.009903,3923.605469,44708
2001-01-04,4644.240234,4719.000000,4644.240234,189.000214,3986.680420,55192
2001-01-05,4569.979980,4843.189941,4569.979980,189.989853,4007.558105,54379
2001-01-08,4669.330078,4719.000000,4619.649902,185.999817,3923.392822,21380
2001-01-09,4669.330078,4768.680176,4619.649902,186.799850,3940.268799,80711
2001-01-10,4642.009766,4694.169922,4619.410156,188.500153,3976.133301,73471
2001-01-11,4716.270020,4719.000000,4594.819824,189.000214,3986.680420,41060
2001-01-12,4694.169922,4694.169922,4569.979980,186.019958,3923.815674,33193
2001-01-15,4569.979980,4669.330078,4569.979980,188.000107,3965.584961,5307
2001-01-16,4669.330078,4719.000000,4644.490234,189.000214,3986.680420,17426
2001-01-17,4694.169922,4768.680176,4656.910156,190.500015,4018.316650,35318
2001-01-18,4731.419922,4892.859863,4731.419922,197.000000,4155.425781,94440
2001-01-19,4892.609863,5066.720215,4868.020020,201.000122,4239.799316,75018
2001-01-22,4992.209961,4992.209961,4786.060059,194.000061,4092.144531,26445
2001-01-23,4818.350098,4868.020020,4773.890137,192.209991,4054.384277,63454
2001-01-24,4843.189941,4843.189941,4641.759766,186.890030,3942.170654,48122
2001-01-25,null,null,null,0.000000,0.000000,null
2001-01-26,4644.490234,4818.350098,4644.240234,192.000214,4049.961182,70017
2001-01-29,4793.509766,4793.509766,4681.750000,189.000214,3986.680420,52036
2001-01-30,4743.839844,4743.839844,4619.649902,185.999817,3923.392822,100029
2001-01-31,4644.490234,4656.910156,4569.979980,186.499924,3933.941162,71209
2001-02-01,4686.709961,4686.709961,4520.560059,182.999863,3860.113037,39176
2001-02-02,4545.140137,4569.979980,4483.049805,183.999985,3881.207275,22555
2001-02-05,4545.140137,4545.140137,4445.799805,179.500259,3786.293701,7972
2001-02-06,4495.470215,4507.890137,4470.629883,181.500092,3828.477539,24029
2001-02-07,4495.220215,4495.220215,4396.120117,178.000031,3754.646973,40963
2001-02-08,4468.149902,4607.240234,4468.149902,182.980148,3859.695313,36092
2001-02-09,4569.979980,4569.979980,4470.629883,179.999893,3796.833008,24415
2001-02-12,4471.129883,4496.709961,4470.629883,180.499939,3807.380371,25060
2001-02-13,4520.310059,4545.140137,4520.310059,182.999863,3860.113037,84809
2001-02-14,4520.310059,4669.330078,4470.629883,185.500198,3912.854492,61401
2001-02-15,4619.649902,4644.490234,4607.240234,185.500198,3912.854492,22982
2001-02-16,4619.649902,4619.649902,4319.129883,176.050125,3713.516602,40351
2001-02-19,4470.629883,4470.629883,4346.450195,175.000061,3691.368164,30463
2001-02-20,4359.120117,4408.540039,4147.750000,172.000076,3628.087646,45062
2001-02-21,4346.450195,4420.959961,4197.180176,170.019943,3586.320068,71362
2001-02-22,4247.100098,4334.029785,4247.100098,174.499985,3680.819580,91421
2001-02-23,4346.200195,4594.819824,4321.609863,178.010101,3754.859131,87322
2001-02-26,null,null,null,0.000000,0.000000,null
2001-02-27,null,null,null,0.000000,0.000000,null
2001-02-28,4408.540039,4408.540039,4224.750000,170.499863,3596.443604,51601
2001-03-01,4271.939941,4420.959961,4259.520020,175.510178,3702.127441,72610
2001-03-02,4420.959961,4495.470215,4321.609863,180.989975,3817.718018,93595
2001-03-05,4470.629883,4545.140137,4396.120117,179.000168,3775.744385,56811
2001-03-06,4470.629883,4624.620117,4445.799805,182.000153,3839.023926,48372
2001-03-07,4538.939941,4594.819824,4507.890137,183.499924,3870.662109,46809
2001-03-08,4569.979980,4644.490234,4495.470215,183.999985,3881.207275,58180
2001-03-09,4470.629883,4495.720215,4458.220215,179.999893,3796.833008,56062
2001-03-12,4266.970215,4495.720215,4266.970215,171.799988,3623.867188,28208
2001-03-13,4197.430176,4346.450195,4160.169922,169.000107,3564.807861,28377
2001-03-14,4197.430176,4346.450195,4160.169922,169.000107,3564.807861,28377
2001-03-15,3997.739990,4172.839844,3996.250000,160.960037,3395.215088,123953
2001-03-16,4011.149902,4073.239990,3973.649902,159.990097,3374.755127,93385
2001-03-19,3986.310059,4011.149902,3824.879883,157.999924,3332.774658,116021
2001-03-20,3976.379883,4172.589844,3974.139893,164.999985,3480.432129,98467
2001-03-21,4197.430176,4222.270020,4098.080078,167.999985,3543.711426,63631
2001-03-22,3949.060059,4098.080078,3874.550049,159.000046,3353.871582,124766
2001-03-23,4122.919922,4122.919922,3949.060059,166.000137,3501.529053,42815
2001-03-26,4284.359863,4296.779785,4222.020020,172.500122,3638.635742,36575
2001-03-27,4296.779785,4346.450195,4279.390137,173.999908,3670.270996,36236
2001-03-28,4271.939941,4321.859863,4259.520020,172.000076,3628.087646,39023
2001-03-29,4396.120117,4420.959961,4234.680176,171.500000,3617.540771,30173
2001-03-30,4172.839844,4259.520020,4060.580078,168.010025,3543.923584,45038
2001-04-02,3964.209961,4168.120117,3961.969971,159.610031,3366.738525,30294
2001-04-03,3874.550049,3973.899902,3775.199951,156.000046,3290.592041,62270
2001-04-04,4085.409912,4085.659912,3924.219971,164.489868,3469.671387,69622
2001-04-05,4298.270020,4298.270020,4085.659912,173.060226,3650.449707,31936
2001-04-06,4110.500000,4296.779785,4110.500000,165.500076,3490.979736,62673
2001-04-09,4048.409912,4185.009766,3973.899902,163.000122,3438.247070,33209
2001-04-10,4209.850098,4334.029785,4098.080078,169.500168,3575.354248,28933
2001-04-11,4197.919922,4247.100098,4172.589844,169.019836,3565.225586,26952
2001-04-12,4346.450195,4363.830078,4197.430176,175.000061,3691.368164,36607
2001-04-13,null,null,null,0.000000,0.000000,null
2001-04-16,4247.100098,4318.879883,4222.270020,170.999969,3606.991455,7392
2001-04-17,4173.830078,4271.939941,4147.750000,168.049911,3544.765137,13464
2001-04-18,4227.229980,4321.609863,4172.339844,170.199921,3590.115479,91549
2001-04-19,4098.080078,4222.270020,4098.080078,164.999985,3480.432129,80501
2001-04-20,3874.550049,4172.089844,3775.199951,156.000046,3290.592041,212636
2001-04-23,3937.139893,3937.139893,3812.459961,156.020218,3291.018311,82973
2001-04-24,3911.800049,4011.149902,3849.709961,160.999893,3396.056152,84648
2001-04-25,3899.389893,3973.899902,3899.389893,159.500092,3364.420410,28587
2001-04-26,4085.409912,4135.339844,4048.409912,164.999985,3480.432129,107107
2001-04-27,4102.049805,4371.290039,4102.049805,173.999908,3670.270996,122455
2001-04-30,4363.089844,4420.959961,4363.089844,176.999924,3733.552734,45505
2001-05-01,null,null,null,0.000000,0.000000,null
2001-05-02,null,null,null,0.000000,0.000000,null
2001-05-03,4396.120117,4517.819824,4321.609863,181.899887,3836.907715,83481
2001-05-04,4492.740234,4646.979980,4445.799805,183.999985,3881.207275,61248
2001-05-07,4569.979980,4582.399902,4545.140137,182.999863,3860.113037,17989
2001-05-08,4545.140137,4569.979980,4396.120117,176.999924,3733.552734,61666
2001-05-09,null,null,null,0.000000,0.000000,null
2001-05-10,4495.470215,4545.140137,4495.470215,181.000015,3817.926758,81057
2001-05-11,4470.629883,4470.629883,4334.029785,176.000183,3712.464111,26412
2001-05-14,4334.029785,4334.029785,4209.850098,172.000076,3628.087646,13246
2001-05-15,4271.939941,4396.120117,4246.850098,173.540131,3660.572998,43846
2001-05-16,4346.450195,4669.330078,4346.450195,188.000107,3965.584961,102541
2001-05-17,4666.600098,4868.020020,4646.979980,192.949997,4069.995605,130049
2001-05-18,4793.509766,4793.509766,4545.140137,183.020004,3860.536865,37783
2001-05-21,4569.979980,4594.819824,4495.470215,182.000153,3839.023926,28248
2001-05-22,4520.310059,4545.140137,4508.629883,181.529877,3829.103271,54419
2001-05-23,4545.140137,4843.189941,4507.890137,189.989853,4007.558105,129501
2001-05-24,4716.520020,4756.259766,4594.819824,188.000107,3965.584961,67416
2001-05-25,4619.649902,4768.430176,4619.649902,190.500015,4018.316650,82531
2001-05-28,4731.419922,4768.680176,4644.490234,188.000107,3965.584961,5274
2001-05-29,4669.330078,4868.020020,4669.330078,194.000061,4092.144531,120555
2001-05-30,null,null,null,0.000000,0.000000,null
2001-05-31,4830.770020,4845.669922,4743.839844,191.000046,4028.864258,55490
2001-06-01,4743.839844,4745.080078,4632.069824,189.999939,4007.769775,46995
2001-06-04,4731.419922,4843.189941,4731.419922,194.000061,4092.144531,88473
2001-06-05,4818.350098,4905.279785,4818.350098,195.000168,4113.241211,61731
2001-06-06,4843.189941,4967.370117,4843.189941,200.000031,4218.704590,53968
2001-06-07,4964.890137,5029.459961,4917.700195,199.989944,4218.492188,73512
2001-06-08,4967.370117,4979.790039,4781.339844,192.509903,4060.712402,85558
2001-06-11,4743.839844,4818.350098,4723.970215,190.500015,4018.316650,56505
2001-06-12,4818.350098,4843.189941,4706.580078,191.010132,4029.077637,58156
2001-06-13,4843.189941,4930.120117,4805.930176,194.490067,4102.480957,61143
2001-06-14,null,null,null,0.000000,0.000000,null
2001-06-15,4849.890137,4849.890137,4719.000000,190.109848,4010.087158,24617
2001-06-18,4694.410156,4718.750000,4594.819824,186.979843,3944.063721,80968
2001-06-19,4656.910156,4669.330078,4433.379883,180.989975,3817.718018,109619
2001-06-20,4495.470215,4644.740234,4495.470215,186.989914,3944.278320,54331
2001-06-21,4557.560059,4880.439941,4557.560059,193.500015,4081.598877,84214
2001-06-22,4892.859863,4917.700195,4818.350098,196.499954,4144.876465,103733
2001-06-25,4880.439941,4967.370117,4868.020020,199.499939,4208.155762,58156
2001-06-26,4868.020020,4967.370117,4743.839844,192.000214,4049.961182,38185
2001-06-27,4720.000000,4793.509766,4694.169922,189.499878,3997.222412,50417
2001-06-28,4743.839844,4892.859863,4719.000000,194.000061,4092.144531,86058
2001-06-29,4868.020020,5017.040039,4843.189941,201.999847,4260.888672,74510
2001-07-02,4942.529785,5029.459961,4893.109863,199.499939,4208.155762,47864
2001-07-03,4793.759766,5016.799805,4751.290039,192.000214,4049.961182,33338
2001-07-04,null,null,null,0.000000,0.000000,null
2001-07-05,4719.000000,4743.839844,4495.470215,181.000015,3817.926758,73012
2001-07-06,4520.560059,4582.399902,4495.470215,182.500183,3849.571289,68334
2001-07-09,null,null,null,0.000000,0.000000,null
2001-07-10,4545.140137,4594.819824,4428.410156,178.500092,3765.196777,51617
2001-07-11,4445.799805,4495.470215,4271.939941,181.000015,3817.926758,137473
2001-07-12,4495.470215,4796.000000,4420.959961,191.000046,4028.864258,81951
2001-07-13,4768.680176,4867.770020,4681.750000,192.509903,4060.712402,74985
2001-07-16,4781.339844,4781.339844,4632.069824,186.499924,3933.941162,35004
2001-07-17,4719.000000,4719.000000,4642.009766,188.000107,3965.584961,123091
2001-07-18,4768.680176,4768.680176,4582.399902,184.500061,3891.755615,42791
2001-07-19,4594.819824,4669.330078,4569.979980,188.000107,3965.584961,31212
2001-07-20,4669.330078,4768.680176,4669.330078,191.000046,4028.864258,32895
2001-07-23,4743.839844,4768.680176,4694.169922,189.009888,3986.886230,27652
2001-07-24,4718.750000,4719.000000,4644.740234,187.899841,3963.470215,37388
2001-07-25,4718.750000,4718.750000,4507.890137,188.990143,3986.468750,108371
2001-07-26,4644.490234,4644.490234,4545.140137,185.000122,3902.303955,37911
2001-07-27,4594.819824,4719.250000,4545.140137,190.010010,4007.979492,36712
2001-07-30,4727.939941,4793.759766,4727.939941,191.500122,4039.413818,37871
2001-07-31,4768.680176,4855.600098,4768.680176,194.889877,4110.915527,40601
2001-08-01,4818.350098,4855.600098,4694.169922,191.399887,4037.299316,84713
2001-08-02,4754.520020,4756.259766,4569.979980,184.990051,3902.092285,52631
2001-08-03,4594.819824,4656.910156,4570.229980,185.509827,3913.056396,39256
2001-08-06,4644.490234,4818.100098,4644.490234,193.989975,4091.932373,57028
2001-08-07,4793.509766,4880.439941,4768.680176,194.889877,4110.915527,109233
2001-08-08,4843.189941,4892.859863,4842.939941,197.000000,4155.425781,53614
2001-08-09,4868.020020,4942.529785,4818.350098,197.500076,4165.974609,57866
2001-08-10,4818.350098,4917.700195,4805.930176,195.000168,4113.241211,35616
2001-08-13,4744.089844,4843.189941,4694.169922,189.999939,4007.769775,37146
2001-08-14,4768.919922,4793.509766,4706.339844,191.000046,4028.864258,49813
2001-08-15,4756.259766,4808.169922,4694.410156,190.500015,4018.316650,49886
2001-08-16,4694.169922,4743.839844,4669.330078,189.199936,3990.893555,8350
2001-08-17,4574.950195,4681.750000,4512.859863,182.000153,3839.023926,47148
2001-08-20,4470.629883,4520.310059,4420.959961,179.000168,3775.744385,74067
2001-08-21,4507.890137,4532.729980,4436.609863,179.990219,3796.628662,76169
2001-08-22,4520.560059,4545.140137,4470.629883,181.500092,3828.477539,87708
2001-08-23,4497.950195,4532.729980,4445.799805,179.019867,3776.161865,42840
2001-08-24,4445.799805,4507.890137,4396.120117,179.050079,3776.798096,64815
2001-08-27,4420.959961,4495.470215,4420.959961,179.000168,3775.744385,15711
2001-08-28,4469.390137,4495.220215,4438.350098,179.500259,3786.293701,50755
2001-08-29,4520.310059,4520.310059,4445.799805,181.289886,3824.042969,36559
2001-08-30,4433.379883,4507.640137,4376.250000,176.989853,3733.339355,24641
2001-08-31,4420.959961,4423.439941,4347.189941,175.550034,3702.968506,34819
2001-09-03,4326.580078,4361.350098,4271.689941,171.990036,3627.875732,26501
2001-09-04,4321.359863,4358.870117,4284.359863,173.000198,3649.184326,33080
2001-09-05,4358.870117,4371.290039,4247.100098,173.000198,3649.184326,57020
2001-09-06,4294.290039,4296.779785,4247.100098,171.070007,3608.469727,22507
2001-09-07,null,null,null,0.000000,0.000000,null
2001-09-10,4172.589844,4217.299805,4147.750000,166.999863,3522.615967,36172
2001-09-11,3974.389893,4172.589844,3849.709961,154.999939,3269.494385,7392
2001-09-12,3849.709961,4098.080078,3849.459961,160.999893,3396.056152,45215
